old,new
"Молдова Респ, Кишинев",Молдова
"Алтайский край, Сибирский",Алтай
"Китай,Далянь",Китай
"Россия, Алтайский край, Славгород",Славгород
"Алтайский край, Шипуновский р-н, Быково",Алтай
сКрасногорское Красногорского р-на АК,Алтай
гБишкек,Кыргызстан
"РК, ВКО, Семей",Казахстан
"Казастан, Восточно-Казахстанская область, Шемо...",Казахстан
"Приморский край, Партизанскийо",РФ
"Россия, Алтайский край, Рубцовск",Рубцовск
"Благовещенка, Благовещенского района",Алтай
"Китай, Шихэцзы",Китай
"Восточно-Казахстанская область, Усть-Каменогорск",Казахстан
"Алтайский край, Курьинский р-н, Колывань",Алтай
"Казахстан, Восточно-Казахстанская обл, Шемонаи...",Казахстан
"Казахстан, Павлодарская область, Павлодар",Казахстан
"Новосибирская обл, Сузунский р-н, Мышланка",РФ
"Алтайский край, Павловский р-н, Павловска",Алтай
Республика Тыва,РФ
Алтайский край Смоленский район,Алтай
Табуны,Алтай
"Алтайский край, Баевский р-н, Ситниково",Алтай
сНиколаевка Петропавловского р-на,Алтай
"Алтайский край, Троицкий р-н, Заводское",Алтай
Северка,Алтай
Майминский район Республики Алтай,Республика
"Кемеровская область, Новокузнецк",РФ
гЯровое,Алтай
"Алтайский край, Каменский р-н, Октябрьский",Камень-на-Оби
"Московская область, Химки",РФ
"Таджикистан, Нурек",Таджикистан
"Алтайский край , Заринск",Заринск
город Славгород Алтайскогокрая,Славгород
Мичуринское Хабарского р-на Алтайского края,РФ
"Россия, Кемеровская обл, Междуреченск",РФ
Алтайский край Ключевской р-н,Алтай
"россия, Алтайский край, Баевский район",Алтай
"Алтайский край, Славгород, Бурсоль",Славгород
"Алтайский край Троицкий район,Зеленаяоляна",Алтай
Павловский район,Алтай
Сайлыреспублики Тыва,РФ
"Казахстан респ, Восточнно-Казахстанская обл, Ш...",Казахстан
"Алтайский край, Бийский р-н, Верх-Катунское",Бийск
"Алтайский край, Краснощековский р-н, Маралиха",Алтай
Китай ГХарбин,Китай
Топчиха Топчихинского района Алтайского края,Алтай
Сибирский Алтайского края,Алтай
"Алтайский край, Кулундинский р-н",Алтай
Чемальский район Республика Алтай,Республика
"Алтайский край, Усть-Калманский р-н, Новобураново",Алтай
Алтайский край Заринский р-н,Заринск
"Алтайский край, Зональный р-н, Зональное",Алтай
"КНР,ров Сычуань, Бачжун, Тунцзян",Китай
"Алтайский край, Угловский р-н, Лаптев Лос",Алтай
"Россия, Кемеровская обл, Киселевск",РФ
"Волгоградская область, Волгоград",РФ
Алейск Алтайского края,Алейск
Алтайский край Мамонтово,Алтай
Горняк Локтевского р-на Алтайского края,Алтай
"Россия, Алтайский край, Зональный р-н, Буланиха",Алтай
"Алтайский край, Ключевский р-н, Истимис",Алтай
город Шемонаиха ВКО,Казахстан
"Алтайский край, Барнаул, Черницк",Барнаул
Благовещенка,Алтай
"Россия, Алтайский край, Змеиногорский р-н, Кар...",Алтай
"Китай, Синьцзян-Уйгурский автономный р-н, Урумчи",Китай
"казахстан, Восточно-Казахстанская область",Казахстан
Белокуриха АК,Алтай
"Алтайский край, Каменский р-н, Новоярки",Камень-на-Оби
"Россия, Алтайский край, Краснощековский р-н, М...",Алтай
"Китай, Хэбэйровинция, Цю",Китай
"Новосибирская область, Кочковский р-н, Кочки",РФ
сЗудилово,Алтай
рпСтепное Озеро,Алтай
город Новоалтайск Алтайского края,Новоалтайск
"Алтайский край, Советский р-н, Никольское",Алтай
"Алтайский край, Солонешенский р-н, Топольное",Алтай
"Республика Казахстан, ВКО, Семей",Казахстан
Покровка,Алтай
"Республика Таджикистан, Душанбе",Таджикистан
"Россия, Алтайский край, Баевский р-н, Баево",Алтай
"Киргизия, Иссык-Кульская обл, Каракол",Кыргызстан
Сузакский р-н Жалал-Абадская область,Кыргызстан
"Россия, Алтайский край, Заринский р-н, Комарское",Заринск
"Кыргызская Респ, Ош",Кыргызстан
"Узбекистан, Ташкент",Узбекистан
Шелаболихинский район Алтайский край,Алтай
сУсь-Кан,Алтай
Казахстан,Казахстан
Риддер Казахстан,Казахстан
"Республика Алтай, Кош-Агачский р-н",Республика
"Алтайский край, Троицкий р-н, Троицкое",Алтай
Алтайский край Волчихинский район,Алтай
"Ульяновская область, Ульяновск",РФ
"Россия, Алтайский край, Краснощековский р-н",Алтай
"Алтайский край, Романовский р-н, Сидоровка",Алтай
Астана,Казахстан
гНовоалтайск АК,Новоалтайск
"Россия, Алтайский край, Третьяковский р-н",Алтай
"Алтайский край, Солонешенский р-н, Туманово",Алтай
Туркменабат Лебапской области,Туркменистан
сНовотроенка Усть-Калманского района АК,Алтай
"Алтайский край, Алейский р-н",Алейск
Алтайский крайорЗмеиногорск,Алтай
"Алтайский край, Калманский р-н, Зимари",Алтай
"Забайкальский край, Чита",РФ
"Республика Алтай, Майминский р-н, Подгорное",Алтай
Киприно,Алтай
"Россия, Алтайский край, Алейский р-н, Дружба",Алейск
"Россия, Алтайский край, Третьяковский р-н, Сад...",Алтай
"Алтайский край, Кытмановский р-н,Кытманово",Алтай
гор Горняк Алтайского края,Алтай
гБарнаула Алтайского края,Барнаул
"Алтай респ, Чойский р-н",Республика
"Алтайский край,Новоалтайск",Новоалтайск
"Краснодарский край, Краснодар",РФ
"Таджикистан респ, Исфара",Таджикистан
"Удмуртия респ, Ижевск",РФ
Алтайский край Завьяловский район,Алтай
"КНР,ров Гуандун, Гуанчжоу",Китай
"Китай,ровинция Хэйлунцзян,ородской круЦзямусы",Китай
"Алтайский край, Каменский р-н, Рыбное",Камень-на-Оби
"Таджикистан респ, Пенджикент",Таджикистан
"Республика Алтай, Турочакский р-н",Республика
Казахстан Аксу,Казахстан
Алтайский р-н Алтайского края,Алтай
"Саратовская область, Вольск",РФ
сБоровое Крутихинского района Алтайского края,Алтай
"Томская область, Томск",РФ
"Чукотский АО, Чукотский р-н, Лаврентия",РФ
гор Шемонаиха Казахстан,Казахстан
"Алтайский край, Чарышский р-н, Малый Бащелак",Алтай
"Россия, Алтайский край, Шипуновский р-н, Шипуново",Алтай
Кош-Агач,Республика
Восточно-Казахстанская область Глубоковский район,Казахстан
рпСтепное озеро,Алтай
"Россия, Алтайский край, Первомайский р-н",Алтай
"Алтайский край, Шипуновский р-н",Алтай
"Казахстан респ, Восточно-Казахстанская обл, Зы...",Казахстан
"Алтайский край, Хабарский р-н, Хабары",Алтай
Санкт - Петербург,РФ
Тарарск Новосибирской области,РФ
Алтайски край Барнаул,Барнаул
"Алтайский край, Тальменский р-н, Ларичиха",Алтай
"Алтайски край, Кулундинский район, Кулунда",Алтай
"Республика Алтай, Онгудайский р-н, Онгудай",Республика
"Республика Саха /Якутия/, Якутск",Республика
Белокуриха,Алтай
Гилев-ЛоРомановского р-на,Алтай
Новоильинка Хабарского района Алтайского края,РФ
Усть-Ордынка,Алтай
"Китай,ровинция Сычуань",Китай
"Таджикистан, Вахдат",Таджикистан
село Подсосново Немецкого национального района...,Алтай
"Алтайский край, Рубцовский р-н",Рубцовск
"Алтайский край, Михайловский р-н, Малиновое Озеро",Алтай
"Таджикистан, Согдийская обл, Аштский р-н",Таджикистан
"Нигерия,Порт-Хархорт",Нигерия
гНевьянск Свердловской обл,РФ
"Россия, Алтайский край, Г Барнаул",Барнаул
"Таджикистан, Исфаринский р-н,ельсовет Чильгазы",Таджикистан
"Кыргызская респ, Кыргызстан",Кыргызстан
"Самарская область, Самара",РФ
"Кыргызстан Респ, Майлуу-Суу",Кыргызстан
Республика АлтайГорно-Алтайск,Горно-Алтайск
"Алтайский край, Завьяловский р-н, Гонохово",Алтай
"Оренбургская область, Орск",РФ
"Алтайский край, Родинский р-н, Ярославцев Лос",Алтай
"Россия, Алтайский край, Косихинский р-н, Косиха",Алтай
"Республика Крым, Симферополь",РФ
пМортка Тюменской области,РФ
"Республика Таджикистан, Шугнанского р-на",Таджикистан
"Новосибирская область, Сузунский р-н, Сузун",РФ
"Россия, Республика Алтай, Майминский р-н",Республика
"Китай, Сыпин",Китай
"Алтайский край, Солонешенский район,Солонешное",Алтай
"Алтайский край, Зональный р-н, Шубенка",Алтай
"Алтайский край, Петропавловский р-н",Алтай
Алтайский край Рубцовск,Рубцовск
Усть-Кажа,Алтай
"Россия, Алтайский край, Зональный р-н, Луговское",Алтай
Тальменка Тальменского района Алтайского края,Алтай
"Алтайский край, Алтайский р-н, Старобелокуриха",Алтай
Алтайский край Завьяловский район Чистоозерка,Алтай
"Алтайский край, Бурлинский р-н, Устьянка",Алтай
сСмоленское Смоленского района АК,Алтай
"Алтайский край, Шелаболихинский р-н, Крутишка",Алтай
"Алтайский край, Красногорский р-н, Новозыково",Алтай
"Россия, Алтайский край, Барнал",Барнаул
сМамонтово,Алтай
Красноярский край,Алтай
село Кусак Немецкого национального района Алта...,Алтай
"Алтайский край, Тальменский р-н, Среднесибирский",Алтай
сОнгудай Республика Алтай,Республика
село Зональное Зональный район Алтайский край,Алтай
сЯготина,Алтай
"Россия, Алтайский край, Табунский р-н, Табуны",Алтай
Шемонаиха ВКО,Казахстан
"Казахстан, Восточно-Казахстанская обл, Бородул...",Казахстан
"Новосибирская обл, Болотнинский р-н, Болотное",РФ
"Россия, Алтайский край, Зональный р-н, Зональное",Алтай
"Россия, Алтайский край, Заринский р-н",Заринск
"Россия, Алтайский край, Павловский район, Павл...",Алтай
Благовещенской р-н Алтайского края,Алтай
"Алтай респ, Кош-Агачский р-н, Теленгит-Сортогой",Республика
"Казахстан Респ, Восточно-Казахстанская обл, Бо...",Казахстан
Баевский р-н Алтайского края,Алтай
город Новосибирск,РФ
Краснощековский район Алтайский край,Алтай
Харбин,Китая
"Алтайский край, Курьинский р-н, Краснознаменка",Алтай
"Россия, Кабардино-Балкария, Нальчик",Алтай
Алтайский крайород Барнаул,Барнаул
"Таджикистан респ, Курган-тюбе",Таджикистан
Петропавловский р-он Алтайского края,Алтай
"Киргизия, Жалал-Абадская область, Таш-Кумыр, Ш...",Кыргызстан
"Алтайский край, Суетский р-н, Верх-Суетка",Алтай
"Алтайский край, Кулундинский р-н, Семеновка",Алтай
"Россия, лтайский край, Алтайский р-н, Алтайское",Алтай
"Алтайский край, Залесовский р-н, Борисово",Алтай
"Китай,ровинция Сычуань,ородской окруФучжоу",Китай
Мамонтово,Алтай
"Алтайский край, Залесовский р-н, Пещерка",Алтай
Томск,РФ
"Алтайский край, Мамонтовский район, Крестьянка",Алтай
"Алтайский край, Косихинский р-н, Малахова",Алтай
"Россия, Санкт-Петербург",РФ
"Алтайский край, Волчихинский р-н, Коминтерн",Алтай
"Россия, Алтайский край, Бийский р-н, Первомайское",Бийск
"Россия, Алтайский край, Бийский р-н, Шебалино",Бийск
"Казахстан респ, Семипалатинск",Казахстан
"Таджикистан, Курган-Тюбе",Таджикистан
"Кыргызстан, Жалал-Абадская обл, Майлуу-Суу",Кыргызстан
"Гиссарский р-н,/дж Хисор, Гулхани",Таджикистан
сБобровка Первомайского района,Алтай
Алма-Ата,Казахстан
"КНР,ров Хайнань, Г Хуачжоу",Китай
"Кыргызстан, Бишкек",Кыргызстан
"Таджикистан, Хатлонская обл, Вахшский р-он",Таджикистан
"Ханты-Мансийский АО - Югра, Пыть-Ях",РФ
Глубокое Завьяловский район Алтайского края,Алтай
"Казахстан Респ, Туркестан",Казахстан
"Казахстан, Сарань",Казахстан
Смоленский район Алтайского края,Алтай
Зимари,Алтай
"Республика Алтай, Усть-Канский р-н, Усть-Кан",Республика
Алтайское табунского района Алтайского края,Алтай
"Алтайский край, Ключевской р-н, Ключи",Алтай
алтайский крайКамень-на-Оби,Камень-на-Оби
Алтайский край Советское,Алтай
Алтайский край Заринск,Заринск
"Таджикистан, Хатлонская обл, Нурек",Таджикистан
"Алтайский край, Суетский р-н, Нижняя Суетка",Алтай
"Алтайский край, Целинный р-н, Марушка",Алтай
Тальменский район,Алтай
сЧерный Ануй Усть-Канского р-на респАлтай,Республика
"Алтай респ, Турочакский р-н",Республика
гСлавгород,Славгород
"Китай, Хэйлунцзянровинция, Ланьси",Китай
"Павлодар, Республика Казахстан",Казахстан
"Алтайский край, Локтевский р-н, Самарка",Алтай
"Республика Казахстан, Астана",Казахстан
"Россия, Алтайский край, Топчихинский р-н, Парф...",Алтай
"Китай, Шаньдунровинция",Китай
Немецкий национальный район Алтайского края,Алтай
"Кыргызстан,орБишкек",Кыргызстан
"Кыргызская республика, Баткенская область, Исфана",Кыргызстан
"Россия, Алтайский край, Родинский р-н, Родино",Алтай
"Россия, Алтайский край, Новочихинский р-н, Нов...",Алтай
Алтайский край Быстроистокский района,Алтай
Солтонский район Алтайского края,Алтай
Алтайский край Егорьевский район,Алтай
красногорский р-н,Алтай
Тюменцевский район Алтайского края,РФ
"Алтайский край, Волчихинский р-н, Солоновка",Алтай
Черемное,Алтай
"Алтайский край, Немецкий национальный р-н, Орлово",Алтай
"Алтайский край, Бийский р-н, Светлоозерское",Бийск
Алтайский край Тальменского р-на,Алтай
Тыва Респ,РФ
Гальбштадт Немецкого национального района Алта...,Алтай
"Алтайский край, Смоленский р-н, Верх-Обский",Алтай
"Кемеровская обл, Юрга",РФ
"Алтайский край, Быстроистокский р-н, Новопокровка",Алтай
"Алтайский край, Поспелихинский р-н, Котляровка",Алтай
"Алтайский край, Усть-Пристанский р-н, Клеиково",Алтай
"КНР,ров Хэйлунцзян, Мулин",Китай
"Алтайский край, Смоленский р-н, Ануйское",Алтай
Ребрихинский район Алтайского края,Алтай
Беловский,Алтай
Черемное Павловского р-на Алтайского края,Алтай
Черепановский р-н Новосибирская обл,РФ
"Турочакский район, Республика Алтай",Республика
Верх-Катунское Бийского р-на Алт Кр,Бийск
Топчихинский р-он,Алтай
"Алтайский край, Поспелихинский р-н, Факелоциал...",Алтай
"Казахстан, Карагандинская обл, Шахтинск",Казахстан
"Таджикистан респ, Хорог",Таджикистан
"Республика Алтай, Онгудайский р-н",Республика
"Алтайский край, Шипуновский р-н, Самсоново",Алтай
Чарышское Чарышского района Алтайского края,Алтай
Смоленск,РФ
"Алтайский край, Тальменка",Алтай
"Россия, Омская обл, Омск",РФ
Биийск АК,Бийск
"Россия, Алтайский край, Панкрушихинский р-н, П...",Алтай
"Россия, Алтайский край, Тюменцевский район, Тю...",Алтай
"Алтайский край, Каменский р-н, Луговое",Камень-на-Оби
Подсосново Немецкий национальный район,Алтай
"Алтайский край, Бийс",Бийск
"Алтайский край, Павловский р-н, Сибирские Огни",Алтай
"Россия, Приморский край, Находка",РФ
"Алтай Респ, Усть-Канский р-н, Усть-Кан",Республика
"Алтайский край, Каменский р-н, Корнилово",Камень-на-Оби
"Алтайский край, Целинный р-н, Воеводское",Алтай
"Шемонаиха ВКО, реапублика Казахстан",Казахстан
"Черемушкино, Залесовского района",Алтай
"Россия, Алтайский край, Усть-Пристаньский р-н",Алтай
"Алтайский край, Зональный р-н, Плешково",Алтай
Костома,РФ
"Республика Алтай,Чемальский р-н",Республика
Кострома,РФ
"Кыргызская респ, Жалал-Абадская обл, Таш-Кумыр",Кыргызстан
"Республика Алтай, Шебалинский р-н, Шебалино",Республика
Алтайский край Михайловское,Алтай
Пионерский Елизовского р-на Камчатского края,РФ
"Сахалинская обл, Углегорск",РФ
"Алтайский край, Усть-Пристанский р-н, Елбанка",Алтай
Павловск Павловского района Алтайского края,Алтай
"Россия, Алтайский край, Косихинский р-н, Налобиха",Алтай
"Алтайский край, Солтонский р-н",Алтай
"Санкт-Петербург,",РФ
Оренбург,РФ
Первомайский р-н Алтайского края,Алтай
"Алтайский край, Бийский р-н, Первомайское",Бийск
"Ямало-Ненецкий АО, Муравленко",РФ
Самарка Локтевского р-на,Алтай
"Алтайский край, Завьяловский р-н, Гонохова",Алтай
Белово Кемеровской области,РФ
"Алтайский край, Залесовский р-н, Шатуново",Алтай
Алтайский край Топчихинский район Топчиха,Алтай
"Алтайский край, Третьяковский р-н",Алтай
"Алтайский край, Павловский р-н, Прутской",Алтай
"Алтайский край, Усть-Пристанский р-н, Нижняя Г...",Алтай
Тюменцевский район Алтайского края Грязново,Алтай
"Алтайский край, Солтонский р-н, Солтон",Алтай
"Алтайский край, Баевский р-н",Алтай
"Республика Алтай, Чойский р-н, Каракокша",Республика
"Казахстан респ, Восточно-Казахстанская обл, Ри...",Казахстан
"Кыргызстан респ, Жалал-Абадская обл, Ноокенски...",Кыргызстан
"Алтайский край, Косихинский р-н, Полковниково",Алтай
"Алтайский край, Краснощековский р-н, Краснощеково",Алтай
Бийска Алтайского края,Бийск
Алтайский край Калманский р-он,Алтай
"Алтайский край, Кытмановский р-н",Алтай
"Московская обл, Химки",РФ
"Удмуртская Респ, Ижевск",РФ
"Таджикистан респ, Рудаки р-н",Таджикистан
Романовский район Алтайского края,Алтай
Владивосток,РФ
Алтайский край Грязново,Алтай
Усть-Калманки Усть-Калманского района Алтайско...,Алтай
"Алтайский край, Смоленский р-н, Кировский",Алтай
"Россия, Алтайский край, Усть-Калманский р-н, У...",Алтай
Сереброполь Табунского района,Алтай
Киселевск Кемеровской обл,РФ
"Алтайский край, Первомайский р-н, Повалиха",Алтай
"Таджикистан, Хатлонская обл, Вахшский р-н",Таджикистан
"Алтайский край, Ребрихинский р-н, Белово",Алтай
Светлово,Алтай
"Алтайский край, Ребрихинский р-н, Усть-Мосиха",Алтай
"Казахстан респ, Восточнно-Казахстанская обл, Б...",Казахстан
"Новосибирская обл, Черепанов",РФ
Кубанка Калманского р-на АК,Алтай
"Алтайский край, Хабарский р-н, Новоильинка",Алтай
Алтайский край Славгород,Славгород
Благовещенский район Алтайского края,Алтай
"Россия, Алтайский край, Красногорский р-н, Кар...",Алтай
"Россия, Алтайский край, Угловский р-н, Угловское",Алтай
"Алтайский край, Заринский р-н, Жуланиха",Заринск
"Алтай Респ, Майминский р-н, Майма",Республика
"КНР,ров Хубэй, Линьчжан",Китай
сПавловск АК,Алтай
села Сросты Егорьевского района Алтайского края,Алтай
"Россия, Алтайский край, Тальменский р-н, Ларичиха",Алтай
Санкт-Перетбург,РФ
"Таджикистан, Согдийская область, Исфары",Таджикистан
"Россия, Алтайский край, Третьяковский р-н, Ста...",Алтай
"Алтайский край, Троицкий р-н, Беловский",Алтай
"Хандань округ, Хэбэй",Китай
"Россия, Алтайский край, Курьинский р-н, Ивановка",Алтай
"Алтайский край, Курьинский р-н",Алтай
"Алтайский край, Новоромановов",Алтай
Фоминское бийского района АК,Бийск
"Таджикистан, Ходжан",Таджикистан
Тальменка Тальменского р-на Алтайского края,Алтай
Шемонаиха ВКО Республика Казахстан,Казахстан
"Алтайский край, Алтайский р-н, Нижнекаменка",Алтай
"Алтайский край, Хабарский р-н, Мичуринское",Алтай
"Россия, Алтайский край, Топчихинский р-н, Чист...",Алтай
Змеиногорский район Алтайского края,Алтай
"Россия, Алтайский край, Тюменцевский р-н, Чере...",Алтай
"Казахстан, Восточно-Казахстанская обл",Казахстан
"Россия, Алтайский край, Смоленский р-н",Алтай
"Алтайский край, Локтевский р-н, Гилево",Алтай
Саха /Якутия/ Респ,РФ
пБурсольСлавгорода,Славгород
"Алтайский край, Тогульский р-н, Тогул",Алтай
"Китай,ровинция Гуйчжоу",Китай
"Саха (Якутия) Респ, Якутск",РФ
"Кыргызстан Респ, Ош",Кыргызстан
гФергана,Узбекистан
Чаган Шуроабадский р-н,Таджикистан
Тальменка,Алтай
"Ярославская обл, Ярославль",РФ
"Россия, Алтайский край, Мамонтовский р-н, Крес...",Алтай
Химки Московской области,РФ
Чаохуровинции Аньхой,Китай
"Россия, Алтайский край, Завьяловский р-н, Черн...",Алтай
гСЛАВГОРОД,Славгород
"Кемеровская область, Ленинск-Кузнецкий",РФ
"Россия, Алтайский край, Заринский р-н, Жуланиха",Заринск
"Республика Алтай, Кош-Агачский р-н, Курай",Республика
"г,Барнаул",Барнаул
Тээли муниципального р-на Бай-Тайгинский кожу...,Китай
"Иркутская область, Иркутск",РФ
"Алтайский край, Шелаболихннский р-н",Алтай
"Барнаул, ул Павловский тракт",Барнаул
"Алтайский край, Завьяловский р-н, Малиновский",Алтай
"Чеченская Республика, Грозный",РФ
"Алтайский край, Заринский р-н, Новодраченино",Заринск
"Алтай респ, Улаганский р-н, Чибиля",Республика
Алтаййский край Барнаул,Барнаул
"Алтайский край,ор Барнаул",Барнаул
"Алтайский край, Шелаболихинский р-н, Киприно",Алтай
гУсинск,РФ
Малышев Лос,Алтай
"Россия, Алтайский край, Чарышский р-н, Красный...",Алтай
"Россия, Кемеровская обл, Прокопьевский р-н, Бо...",РФ
сСамагалтай,РФ
горГорняк,Алтай
Родинский район,Алтай
"Россия, Алтайский край, Змеиногорский р-н",Алтай
"Киргизия, Чуйская обл, Кара-Балта",Кыргызстан
Барнаулийск АК,Барнаул
"Россия, Республика Хакасия, Абакан",РФ
"Китай, Ляонинровинция, Далянь",Китай
"Таджикистан, Согдийская обл, Аштский р-н, Шайдан",Таджикистан
"Киргизия, Жалал-Абадская обл, Майлуу-Суу",Кыргызстан
сТабуны,Алтай
Урожайный,Алтай
сУсть-Мосиха,Алтай
Новичихинский район Алтайского края,Алтай
"Кыргызстан респ, Жалал-Абадская обл, Сузакский...",Кыргызстан
"Ханты-Мансийский Автономный окру- Югра АО, Рад...",РФ
"КНР, Чунцин",Китай
"Алтай Респ, Кош-Агачский р-н, Беляши",Республика
"Тверская обл, Озерныйгт",РФ
"Алтайский край, Локтевский р-н, Горняк",Алтай
"Россия, Алтайский край, Усть-Калманский р-н, Н...",Алтай
"Республика Саха /Якутия/, Ленский у, Пеледуй",РФ
Аштский район Согдийская обл,Таджикистан
"Алтайский край, Змеиногорский р-н, Карамышево",Алтай
"Алтайский край, Топчихинский р-н, Чистюнька",Алтай
"Россия, Алтайский край, Алтайский р-н, Куяча",Алтай
"Россия, Алтайский край, Бурлинский р-н, Новопе...",Алтай
"Таджикистан, Яванский район",Таджикистан
"гЖалал-Абад, Кыргызтан",Кыргызстан
"Казахстан Респ, Восточно-Казахстанская обл, Ше...",Казахстан
"КНР, Хэйлунцзянровинция",Китай
"Магаданская обл, Ягодное",РФ
город Киров Владимирская область,РФ
"Тыва респ, Каа-Хемский р-н",РФ
Тогул Тогульского р-она Алтайского края,Алтай
Панкрушихинский район Алтайского края,Алтай
"Алтай Респ, Кош-Агачский р-он, Тобелер",Республика
Солтон,Алтай
"КНР, Сяннань",Китай
"Алтайский край, Шелаболихинский р-н, Верх-Кучук",Алтай
"Алтайский край, Ребрихинский район",Алтай
Шелаболихинский р-он Алтайский край,Алтай
РесАлтай Улаганского р-на Улаган,Республика
"Республика Казахстан, Шемонаиха ВКО",Казахстан
Акулово Первомайского р-на Алтайского края,Алтай
сКуяган Алтайского района,Алтай
АК Барнаул,Барнаул
"Казахстан, ВКО",Казахстан
"Таджикистан Респ, Хатлонская обл, Яванский р-н...",Таджикистан
"Россия, Алтайский край, Славгород, Семеновка",Славгород
сСухая Чемровка Целинного района АК,Алтай
"Россия, Алтайский край, Локтевский р-н, Успенки",Алтай
"Китай, Ляонинровинция, Инкоу",Китай
"Казахстан, Алма-Ата",Казахстан
Волчиха,Алтай
"Алтайский край Троицкий район,",Алтай
"Алтай респ, Улаганский р-н, Акташ",Республика
"Новосибирская обл, Ордынский р-н, Новый Шарад",РФ
"Алтайский край, Смоленский р-н, Точильное",Алтай
Алтайский крайАлейск,Алейск
гГорно-Алтайск Республика Алтай,Горно-Алтайск
Мартовка Хабарского района Алтайского края,Алтай
Бобровка,Алтай
"Россия, Алтайский край, Чарышский р-н",Алтай
"Алтайский край, Мамонтовский р-н, Покровка",Алтай
"Россия, Алтайский край, Благовещенский р-н",Алтай
"Алтайский край, Усть-Пристанский р-н, Усть-При...",Алтай
"район Фирдавш, Душанбе",Таджикистан
"Таджикистан, Дангаринский р-н, Хатлонской обл",Таджикистан
Селекционное,Алтай
"Новосибирская обл, Сузунский р-н, Сузун",РФ
"КНР, Сыпин",Китай
"сПавловск, Алтайский край",Алтай
"Китай, Сычуаньровинция",Китай
Зеленая Поляна Троицкого района Алтайского края,Алтай
"Россия, Чукотский АО, Анадырь",РФ
город Токмок Чуйской области Кыргызская респуб...,Кыргызстан
"Россия, Республика Алтай,Горно-Алтайск",Горно-Алтайск
Алтайский край Краснощековский р-н,Алтай
"Алтайский край, Змеиногорский р-н",Алтай
"Барнаул, ул Г Исакова",Барнаул
"Россия, Кемеровская обл, Анжеро-Судженск",РФ
Якутск,РФ
"Таджикистан, Дангарский р-н",Таджикистан
"Алтайский край, Петропавловский р-н, Зеленый дол",Алтай
"Республика Алтай,гГорно-Алтайск",Горно-Алтайск
"Алтайский край, Волчихинский р-н, Селиверстово",Алтай
"Казахстан респ, Павлодарская обл, Успенский р-...",Казахстан
"Новосибирская обл, Бердск",РФ
Вяткино,Алтай
"Алтайский край, Немецкий национальный р-н, Гри...",Алтай
Топольное Солонешенского р-на Алтайский край,Алтай
"КНР, Сычуаньров, Чэнду",Китай
"Россия, Красноярский край, Норильск",РФ
Алтайский крайУгловское,Алтай
Алтайский край Петропавловский р-н,Алтай
"Алтайский край, Тюменцевский р-н, Грязново",Алтай
"Алтайский край, Павловский р-н, Арбузовкат",Алтай
Алтайское Алтайского р-на Алтайского края,Алтай
"Россия, Алтайский край, Каменский р-н, Корнилово",Камень-на-Оби
"Алтайский край, Ключеской р-н",Алтай
"Республика Алтай, Турочакский р-н, Кебезень",Республика
"Челябинская обл, Миасскийородской округ",РФ
Барнал,Барнаул
Комсомольск-на-Амуре,РФ
сКарпово Второе,Алтай
гСиньи,Китай
провинция Сычуань,Китай
"Россия, Алтайский край, Петропавловский р-н, П...",Алтай
"Алтайский край, Тюменцевский р-н, Королевский",Алтай
"Россия, Алтайский край, Троицкий р-н, Беловский",Алтай
"Россия, Алтайский край, Тогульский р-н, Тогул",Алтай
"Казахстан, Карагандинская область, Караганда",Казахстан
"Россия, Алтайский край, Совнтский район Советское",Алтай
Карпово Второе Алт Края,Алтай
"Алтайский край, Троицкий р-н, Петровка",Алтай
"Тыва респ, Кызыл",РФ
"Россия, Алтайский край, Поспелихинский р-н",Алтай
Тугозвон,Алтай
Волчно-Бурла Крутихинский р-н,Алтай
Алейска Алтайского края,Алейск
"Алтайский край, Первомайский р-н, Северный",Алтай
"Алтай респ, Кош-Агачский р-н, Тобелер",Республика
"Алтайский край, Ельцовский р-н, Пуштулим",Алтай
"Ставропольский кр, Ессентуки",РФ
"Свердловская обл, Нижнетуринский р-н, Нижняя Тура",РФ
"гКитай,Санья",Китай
Белокуриха Алтайский край,Алтай
Раздольное,Алтай
"Майма, муниципальное образование Майминский р-...",Алтай
"Таджикистан, Рудаки р-н",Таджикистан
"Казахстан респ, Караганда",Казахстан
"Тюменцевский район, Алтайский край, Черемшанка",Алтай
"Киргизия, Чуйская обл, Бишкек",Кыргызстан
"Чукотский АО, Анадырь",РФ
"Украина, Умань",Китай
Михайловское,Алтай
"Алтайский край, Петропавловский р-н, Петропавл...",Алтай
сВолчиха АК,Алтай
"Россия, Республика Алтай, Усть-Коксинский р-н,...",Республика
Республика Алтайор Горно-Алтайск,Горно-Алтайск
"Казахстан, Алматинская обл, Алматы",Казахстан
"Россия, Алтайский край, Шипуновский р-н, Красн...",Алтай
"Алтайский край, Новичихинский р-н, Мельниково",Алтай
"Республика Алтай, Шебалинский р-н, Барагаш",Республика
"Россия, Алтайский край, Шипуновский р-н, Бобровка",Алтай
"Россия, Алтайский край, Бийский р-н, Малоенисе...",Бийск
"Алтайский край, Смоленский район",Алтай
"Тыва Респ, Курчатов",РФ
Калманский р-н,Алтай
"Республика Башкортостан, Уфа",РФ
"Республика Саха /Якутия/, Мирный",РФ
