old,new
Алтайский крайСанниковаРоссия,Алтай
Алтайский крайПоспелихинскийРоссия,Алтай
Жалал-Абадская облСузакКыргызстан,Кыргызстан
Алтайский крайСмирновоРоссия,Алтай
Ошская облЖоошКыргызстан,Кыргызстан
Алтайский крайКамень-на ОбиРоссия,Камень-на-Оби
"Алтайский крайБарнаул, ГоньбаРоссия",Барнаул
Алтай РеспУсть-КанРоссия,Республика
Алтайский крайим КалининаРоссия,Алтай
Алтайский крайЛаричихаРоссия,Алтай
Алматинская областьЕсикКазахстан,Казахстан
РязанскаяСасовоРоссия,РФ
Алтайский крайСуеткаРоссия,Алтай
Алтайский крайТугозвоновоРоссия,Алтай
Алтайский крайСтолбовоРоссия,Алтай
Алтайский крайПервокаменкаРоссия,Алтай
Алтайский крайТумановоРоссия,Алтай
"Ляонин провинцияДунган, БэйцзинцзыКитай",Китай
Алтайский крайпЗаряРоссия,Алтай
Алтайский крайВавилонРоссия,Алтай
"Алтайский край, Барнаул гБарнаулРоссия",Барнаул
Алтай респЧояРоссия,Республика
Республика АлтайПодгорноеРоссия,Республика
Алтайский крайДружбаРоссия,Алтай
Алтайский крайСадовыйРоссия,Алтай
Алтайский крайКоробейниковоРоссия,Алтай
Алтайский крайТягунРоссия,Алтай
Чукотский АОАнадырьРоссия,РФ
Алтайский крайВоеводскоеРоссия,Алтай
Ямало-Ненецкий АОТолькаРоссия,РФ
Алтайский крайГорьковскоеРоссия,Алтай
Алтай РеспПаспулРоссия,Республика
Республика БашкортостанБелорецкРоссия,РФ
Согдийская облИсфараТаджикистан,Таджикистан
Ямало-Ненецкий АОПурпеРоссия,РФ
Алтай РеспТобелерРоссия,Республика
Гуандун пров.ГуанчжоуКитай,Китай
ХэйлунцзянМуданьцзянКитай,Китай
Алтайский крайРыбноеРоссия,Алтай
Согдийская облМайкотаТаджикистан,Таджикистан
"Алтайский крайБарнаул, НаучныйородокРоссия",Барнаул
Алтайский крайВерх-КамышенкаРоссия,Алтай
Алтайский крайУкраинскийРоссия,Алтай
Павлодарская обл.АксуКазахстан,Казахстан
Восточно-Казахстанская обл.МаркакольКазахстан,Казахстан
Кемеровская областьЮргаРоссия,РФ
Алтайский крайБоровоеРоссия,Алтай
Томская областьСеверскРоссия,РФ
АО ЧукотскийсЛаврентияРоссия,РФ
Алтайский крайЮдихаРоссия,Алтай
Алтайский крайКрасногорское cРоссия,Алтай
Алтайский крайМалый БащелакРоссия,Алтай
Алтайский крайсКосихаКазахстан,Казахстан
"Алтайский крайБарнаул, Казенная Заимка,Россия",Барнаул
Новосибирская облНовопокровкаРоссия,РФ
Республика АлтайОнгудайРоссия,Республика
Алайский крайНовоалтайскРоссия,Новоалтайск
Республика Саха /Якутия/ЯкутскРоссия,РФ
Алтайский крайГилев-ЛогРоссия,Алтай
Алтайский крайБареаулРоссия,Барнаул
Алтайский крайсКрасный ЯрРоссия,Алтай
Алтайский крайПодсосновоРоссия,Алтай
Восточно-Казахстанская областьКанонеркаКазахстан,Казахстан
Восточно-Казахстанская обл.Усть-КаменогорскКаз...,Казахстан
Алтайский крайМалиновое озероРоссия,Алтай
Согдийская областьХуджандТаджикистан,Таджикистан
Свердловская облНевьянскРоссия,РФ
Республика АлтайТеньгаРоссия,Республика
Алтайский крайСросткиРоссия,Алтай
Алтайский крайСолоновкаРоссия,Алтай
ГБАОМиденшорТаджикистан,Таджикистан
Новосибирская областьСузунРоссия,РФ
Республика АлтайСоузгаРоссия,Республика
Цзилинь провинцияСыпинКитай,Китай
Жалал-Абадская облСузакРоссия,Кыргызстан
Алтайский крайУсть-КажаРоссия,Алтай
Алтайский крайЛуговскоеРоссия,Алтай
Алтайский крайХуторкиРоссия,Алтай
Алтайский крайСтаробелокурихаРоссия,Алтай
Алтайский крайЧистоозеркаРоссия,Алтай
Казыбекбийский р-нКарагандаКазахстан,Казахстан
Красноярский крайСосновоборскРоссия,РФ
Алтайский крайКрасноармейскийРоссия,РФ
Алтайский крайУрлаповоРоссия,Алтай
Новосибирская облБолотноеРоссия,РФ
Алтайский крайНовая МихайловкаРоссия,Алтай
Алтайский крайХмелевкаРоссия,Алтай
Алтайский крайРедкая ДубраваРоссия,Алтай
Алтайский крайКраснодубровскийРоссия,Алтай
Алтайский крайПрутскойРоссия,Алтай
Жалал-Абадская областьМайлуу-СууКыргызстан,Кыргызстан
"Хайнань провЦюнхай, ЦзяцзиКитай",Китай
Алтайский крайКраснознаменкаРоссия,Алтай
Алтай РеспАкташРоссия,Республика
Хатлонская облСарбандТаджикистан,Таджикистан
"Джалал-АбадскаяТаш-Кумыр, Шамалды-СайКыргызстан",Кыргызстан
Алтайский крайВерх-СуеткаРоссия,Алтай
Сычуань провинцияБарнаулКитай,Китай
Алтайский крайПещеркаРоссия,Алтай
Алтайский крайгЗаринскРоссия,Заринск
Алтайский крайСвердловскоеРоссия,Алтай
Алтайский крайМарушкаРоссия,Алтай
Алтайский крайМалаховоРоссия,Алтай
Алтайский крайКоминтернРоссия,Алтай
Алтайский крайШебалиноРоссия,Алтай
Жалал-АбадскаяМайрамканКыргызстан,Кыргызстан
Алтайский крайКарабинкаРоссия,Алтай
Алтайский крайКрасный ПартизанРоссия,Алтай
Жалал-Абадская обл.Майлуу-сууКыргызстан,Кыргызстан
Хайнань пров.ХайкоуКитай,Китай
Чуйская обл.СретенкаКыргызстан,Кыргызстан
Магаданская ОблМагаданРоссия,РФ
Алтайский крайМирныйРоссия,Алтай
Алтайский крайСмоленскийРоссия,Алтай
Алтайский крайОреховоРоссия,Алтай
Восточно-Казахстанская облНовая БухтармаКазахстан,Казахстан
Алтайский крайБерезка терРоссия,Алтай
Алтайский крайИняРоссия,Алтай
ХатлонскаяНурекТаджикистан,Таджикистан
Алтайский крайМаловолчанкаРоссия,Алтай
Алтайский крайНижняя СуеткаРоссия,Алтай
Алтайский крайУсятскоеРоссия,Алтай
Желал-Абадская облМайлуу-СууКыргызстан,Кыргызстан
Алтай РеспДмитриевкаРоссия,Республика
Алматинская областьТеректиКазахстан,Казахстан
Алтайский крайСамаркаРоссия,Алтай
Алтайский крайНечунаевоРоссия,Алтай
Шаньдун провинцияЛиньфэньКитай,Китай
Чуйская обл.КошойКыргызстан,Кыргызстан
Баткенская областьИсфанаКыргызстан,Кыргызстан
Алтайский край Верх-ОзерноеРоссия,Алтай
Алтайский крайВерх-КучукРоссия,Алтай
Республика АлтайЯбоганРоссия,Республика
Алтайский крайСветлоозерскоеРоссия,Алтай
Тыва РеспШагонарРоссия,РФ
Алтайский крайГришковкаРоссия,Алтай
Алтайский крайМаточныйРоссия,Алтай
Алтайский крайЖуравлихаРоссия,Алтай
Кемеровская областьЗимник дРоссия,РФ
Алтайский крайНовопокровкаРоссия,Алтай
Кемеровская областьЛенинск-КузнецкийРоссия,РФ
Алтайский крайКотляровкаРоссия,Алтай
Алтайский крайЦелинныйРоссия,Алтай
Алтайский крайКлепиковоРоссия,Алтай
Кемеровская облТисульРоссия,РФ
пров. ХэйлунцзянМулинКитай,Китай
Алтайский крайПарфеновоРоссия,Алтай
Алтайский крайСоветский ПутьРоссия,Алтай
Алтайский крайКурлекРоссия,Алтай
Алтайский крайБ-КлючиРоссия,Алтай
Алтай РеспБерезовкаРоссия,Республика
Алтайский крайБеловскийРоссия,Алтай
Алтайский крайСафоновкаРоссия,Алтай
Алтайский крайсБаюновские КлючиРоссия,Алтай
Новосибирская облБезменовотРоссия,РФ
Алтайский крайФакелоциализмаРоссия,Алтай
Горно Бадахшанская АОС/С ПоршеневТаджикистан,Таджикистан
Алтайский крайУсть-ПорозихаРоссия,Алтай
Алтайский крайСитниковРоссия,Алтай
Алтайский крайказарма 519 кмРоссия,Алтай
Тыва РеспИльинкаРоссия,РФ
Кемеровская облМыскиРоссия,РФ
Алтайский крайТоуракРоссия,Алтай
Алтайский крайПодойниковоРоссия,Алтай
Алтайский крайНеводноеРоссия,Алтай
Алтай РеспУсть-Кокса cРоссия,Республика
Республика АлтайБалыкчаРоссия,Республика
Красноярский крайУжурСолнечныйРоссия,РФ
Алтайский крайСоколовоРоссия,Алтай
Алтайский крайЛуковкаРоссия,Алтай
Алтайский крайпоСибирскийРоссия,Алтай
Алтайский крайВидоновоРоссия,Алтай
Алтайский крайБрусенцевоРоссия,Алтай
Московская облБуньковоРоссия,РФ
Алтайский крайБоронскийРоссия,Алтай
Алтай РеспЭликманарРоссия,Республика
Алтай РеспЭлекмонарРоссия,Республика
Алтайский крайКорниловоРоссия,Алтай
Московская облББуньковоРоссия,РФ
Павлодарская облЭкибастузКазахстан,Казахстан
Московская облМоскваРоссия,РФ
Алтайский крайМирабилитРоссия,Алтай
Камчатский крайПионерскийРоссия,РФ
Алтай респУлаганРоссия,Республика
Алтайский крайПрослаухаРоссия,Алтай
Москва гЗеленоградРоссия,РФ
Алтайский крайКоловый мысРоссия,Алтай
Алтайский крайШатуновоРоссия,Алтай
"Алтайский крайГ Барнаул, 184, 58Россия",Барнаул
Алтайский крайУрывкиРоссия,Алтай
Алтайский крайШульгин ЛогРоссия,Алтай
Алтайский крайОрловоРоссия,Алтай
Алтай РеспИогачРоссия,Республика
Алтайский крайЗакладноеРоссия,Алтай
Алтайский крайРечкуновоРоссия,Алтай
Алтайский крайГрязновоРоссия,Алтай
Алтайский крайСайдыпРоссия,Алтай
Алтайский крайпоКомсомольскийРоссия,Алтай
Алтайский крайАлександровкаРоссия,Алтай
Алтайский крайСафроновоРоссия,Алтай
Магаданская облПалаткаРоссия,РФ
Жалал-Абадская облБургандыКыргызстан,Кыргызстан
Алтайский крайПолковниковоРоссия,Алтай
Павлодарская облПавлодарРоссия,Казахстан
Алтайский крайПетрушихаРоссия,Алтай
Удмуртская респХохрякиРоссия,РФ
Кемеровская облКиселевскРоссия,РФ
Хатлонская обл.-Таджикистан,Таджикистан
Алтайский крайБеловоРоссия,Алтай
Алтайский крайУрюпиноРоссия,Алтай
Алтайский крайУсть-МосихаРоссия,Алтай
Алтайский крайПорожнееРоссия,Алтай
Алтайский крайЛоговскойРоссия,Алтай
Алтайский крайМногоозерныйРоссия,Алтай
Алтайский крайГорныйРоссия,Алтай
Алтайский крайНовоугловскийРоссия,Алтай
Алтайский крайЖуланихаРоссия,Алтай
Алтайский крайНовая ТарабаРоссия,Алтай
ХэбэйХаньданьКитай,Китай
Алтайский крайТитовкаРоссия,Алтай
Алтайский крайКабаковоРоссия,Алтай
Алтайский крайСарасаРоссия,Алтай
Алтайский крайЧеремушкиноРоссия,Алтай
Алтайский крайКурьяРоссия,Алтай
Цзилинь провинцияЧанчуньКитай,Китай
Алтайский крайИвановкаРоссия,Алтай
НарынскаяКазыбекКыргызстан,Кыргызстан
г МоскваМоскваРоссия,РФ
Алтайский крайВерх-ПайваРоссия,Алтай
Алтайский крайУсть-КормихаРоссия,Алтай
Восточно-Казахстанская обл.РиддерКазахстан,Казахстан
Алтайский крайХайрюзовкаРоссия,Алтай
В-Казахстанская обл.ДолоньКазахстан,Казахстан
Алтайский крайГолышевоРоссия,Алтай
Алтайский крайЛиневскийРоссия,Алтай
Саха /Якутия/ РеспЧернышевскийРоссия,РФ
Кемеровская облКисилевскРоссия,РФ
ВКОУсть-КаменогорскРоссия,Казахстан
Алтайский крайКашиноРоссия,Алтай
провинция ХайнаньВэньчанКитай,Китай
Саха (Якутия) РеспСангарРоссия,РФ
Алтайский крайНовалтайскРоссия,Алтай
Ферганская облМаргиланУзбекистан,Узбекистан
Алтайский крайСухая ЧемровкаРоссия,Алтай
Алтайский карйЧистюнькаРоссия,Алтай
Алтайский краСибирскийРоссия,Алтай
Республика АлтайКурайРоссия,Республика
Алтайский крайЗиминоРоссия,Алтай
Кемеровская областьМыскиРоссия,РФ
Тыва РеспТээлиРоссия,РФ
Иркутская областьИркутскРоссия,РФ
Алтайский крайМалоугреневоРоссия,Алтай
Алтайский крайпосУсть -КатуньРоссия,Алтай
Чеченская РеспубликаРошни-ЧуРоссия,РФ
Алматинская облУштобеКазахстан,Казахстан
Алтайский крайБуянРоссия,Алтай
ВКОРиддерКазахстан,Казахстан
Алтайский крайСтепное озероРоссия,Алтай
Алтайский крайБарановкаРоссия,Алтай
Кемеровская областьБольшая ТалдаРоссия,РФ
Тыва РеспСамагалтайРоссия,РФ
Алтайский крайКлочкиРоссия,Алтай
Алтайский крайБ-ЕнисейскоеРоссия,Алтай
Республика ХакасияАбаканРоссия,РФ
Ляонин провинцияДаляньКитай,Китай
Жалал-Абадская облМайлуу-СууКыргызстан,Кыргызстан
Кемеровская областьПрокопьевскРоссия,РФ
Алтайский крайУрожайныйРоссия,Алтай
Северо-Казахстанская облПетрапавловскКазахстан,Казахстан
Камчатский крайВилючинскРоссия,РФ
Жалал-Абад облКумуш-АзисКыргызстан,Кыргызстан
Кемеровская облКемеровоРоссия,РФ
Хайнань провКитайКитай,Китай
Алтайский крайСело УрлаповоРоссия,Алтай
Республика АлтайНовый БельтирРоссия,Республика
Тверская облОзерныйгтРоссия,РФ
Республика Саха /Якутия/ПеледуйРоссия,РФ
Северо-Казахстанская облПетропавловскКазахстан,Казахстан
Алтайский крайКарамышевоРоссия,Алтай
Алтайский крайКуячаРоссия,Алтай
Алтайский крайНовопесчаноеРоссия,Алтай
Хатлонская обл.БудинободТаджикистан,Таджикистан
"Жалал-Абадская облаил Таш-Булак,ело ЫнтымакКыр...",Кыргызстан
В-Казахстанская обл.гУсть-КаменогорскКазахстан,Казахстан
Восточно-Казахстанская облСугатовкаКазахстан,Казахстан
Ярославская облЯрославльРоссия,РФ
Тыва РеспСарыг-СепРоссия,РФ
Алтайский крайХлеборобРоссия,Алтай
Алтайский крайВелижанкаРоссия,Алтай
Алтайский крайТюменьРоссия,РФ
Алтайский крайЕгорьевскийРоссия,Алтай
Алтайский крайМакаровоРоссия,Алтай
Алтайский крайБарнаул ВласихаРоссия,Барнаул
Алтайский крайАкуловоРоссия,Алтай
Алтай РеспПаспартаРоссия,Республика
Алтайский крайАрбузовкаРоссия,Алтай
Хатлонская облШиринбулокТаджикистан,Таджикистан
Челябинская облЗлатоустРоссия,РФ
Алтайский крайСверчковоРоссия,Алтай
Алтайский крайКузьминкаРоссия,Алтай
Хакасия РеспАскизРоссия,РФ
"Алтайский крайБарнаул, НовосиликатныйРоссия",Барнаул
Ляонин провинцияИнкоуКитай,Китай
Новосибирская облНовый ШарадРоссия,РФ
Алтайский крайайТочильноеРоссия,Алтай
Алтайский крайПлотниковоРоссия,Алтай
Павлодарская облКоныр-ОзекКазахстан,Казахстан
Алтайский крайпосБорихаРоссия,Алтай
Алтайский крайМартовкаРоссия,Алтай
Алтайский крайЩебнюхаРоссия,Алтай
Восточно-Казахстанская облСемейТуркменистан,Туркменистан
Хатлонская обл.ДушанбеТаджикистан,Таджикистан
Алтайский крайСелекционноеРоссия,Алтай
Новосибирская облСузунРоссия,РФ
Иссык-Кульская облКайырма-АрыкКыргызстан,Кыргызстан
Сычуань провинцияНаньчунКитай,Китай
Чуйская облТокмокКыргызстан,Кыргызстан
Алтайский крайПрудскойРоссия,Алтай
Республика АлтайКаярлыкРоссия,Республика
Алтайский крайБеспаловскийРоссия,Алтай
Алтайский крайсКосихаРоссия,Алтай
Кемеровская областьАнжеро-СудженскРоссия,РФ
Хатлонская облДушанбеТаджикистан,Таджикистан
"Восточно-Казахстанская облСемей, ЗападныйКазах...",Казахстан
Алтайский крайЗеленый ДолРоссия,Алтай
Алтай РеспгГорно-АлтайскРоссия,Горно-Алтайск
Павлодарская облДмитриевкаКазахстан,Казахстан
Алтай РеспГорбуновоРоссия,Республика
Алтайский крайсВолчихаРоссия,Алтай
Алайский крайКраснощековоРоссия,Алтай
Алтайский крайУкраинкаРоссия,Алтай
Алтай РеспАртыбашРоссия,Республика
Алтайский край3 ИнтернационалРоссия,Алтай
Алтайский крайКатуньРоссия,Алтай
Алтайский крайКучукРоссия,Алтай
Алтайский крайСеверкаРоссия,Алтай
Республика АлтайКебезеньРоссия,Республика
Челябинская облМиассРоссия,РФ
ГБАОПастхуфТаджикистан,Таджикистан
Алтайский крайГорно-АлтайскРоссия,Горно-Алтайск
Алтайский крайЗагайново рздРоссия,Алтай
Новосибирская областьЧерепановоРоссия,РФ
"Алтайский крайБарнаул,ЮжныйРоссия",Барнаул
Алтайский крайДолинскоеРоссия,Алтай
Алтайский крайКарпово второеРоссия,Алтай
Алтайский крайПесьянкаРоссия,Алтай
Алтай РеспОроктойРоссия,Республика
Алтайский крайМеждуреченскРоссия,Алтай
Республика АлтайЯконурРоссия,Республика
Алтайский крайМаральи РожкиРоссия,Алтай
Алтайский крайШипуново(Российского/с)Россия,Алтай
Алтайский крайУльяновскийРоссия,Алтай
Алтайский крайМуравейРоссия,Алтай
Алтайский крайС БорисовоРоссия,Алтай
Алтайский крайКрасноярскоеРоссия,Алтай
Алтайский крайим МамонтоваРоссия,Алтай
Алтайский крайСунгайРоссия,Алтай
Ямало-Ненецкий АОТазовскийРоссия,РФ
Павлодарская облПавловкаКазахстан,Казахстан
Алтай РеспСоузгаРоссия,Республика
Свердловская облНижняя ТураРоссия,РФ
провинция ХайнаньСаньяКитай,Китай
Алтайский крайНижнеозерноеРоссия,Алтай
Алтайский крайСтарая ЧемровкаРоссия,Алтай
Восточно-Казахстанская облАстанаКазахстан,Казахстан
Алтайский крайРаздольноеРоссия,Алтай
Алтайский крайКулундинскийРоссия,Алтай
Алтайский крайТалицаРоссия,Алтай
Алайский крайКамень-на-ОбиРоссия,Камень-на-Оби
Омская облБарнаулРоссия,РФ
Республика АлтайКатандаРоссия,Республика
Алтайский крайС БурлаРоссия,Алтай
Алтайский крайВерх-ОбскийРоссия,Алтай
Алтайский крайМельниковоРоссия,Алтай
"Алтайский крайБарнаул, Затон мкрРоссия",Барнаул
Алтайский крайсКалманкаРоссия,Алтай
Новосибирская облБердскРоссия,РФ
Республика АлтайКарлушкаРоссия,Республика
Тыва РеспБарнаулРоссия,РФ
Алтайский крайВоздвиженкаРоссия,Алтай
"Восточно-Казахстанская облСемей, ВосточныйРоссия",Казахстан
Алтайский крайНовоалейскоеРоссия,Алтай
Алтайский крайрпМалиновое озероРоссия,Алтай
Алтайский крайНовоманошкиноРоссия,Алтай
алтайский крайЗудиловоРоссия,Алтай
Восточно-Казахстанская облАлтайРоссия,Казахстан
"Алтайский крайГ Барнаул,Россия",Барнаул
Лебапская облБерекетТуркменистан,Туркменистан
Согдийская областьПенджекентТаджикистан,Таджикистан
Саха /Якутия/ РеспЗырянкаРоссия,РФ
Алтайский крайВерх-ЖилиноРоссия,Алтай
ВКОШимонаихаКазахстан,Казахстан
Алтайский крайАсРоссия,Алтай
Алтайский крайПлотаваРоссия,Алтай
Алтайский крайОстровноеРоссия,Алтай
Алтайский крайКашкарагаихаРоссия,Алтай
Башкортостан РеспИшимбайРоссия,РФ
Восточно-Казахстанская облСемипалатинскКазахстан,Казахстан
пров. ЛяолинШеньянКитай,Китай
"Алтайский крайБарнаул,Россия",Барнаул
Кемеровская облМеталлплощадкаРоссия,РФ
В-Казахстанская обл.СКамышинкаКазахстан,Казахстан
Алтайский крайВоронихаРоссия,Алтай
Кемеровская областьБеловоРоссия,РФ
Алтай РеспЯконурРоссия,Республика
Алтайский крайсБезрукавкаРоссия,Алтай
Алтайский крайВысокая ГриваРоссия,Алтай
Восточно-Казахстанская облЖесткентРоссия,Казахстан
Алтай РеспТеректаРоссия,Республика
Алтайский крайсБоровихаРоссия,Алтай
Хакасия РеспЧерногорскРоссия,РФ
Респ АлтайТобелерРоссия,Республика
Алтайский крайПесчаноеРоссия,Алтай
В-Казахстанская облСемейРоссия,Казахстан
Алтайский крайНовозыряновоРоссия,Алтай
Алтайский крайЗападный УголРоссия,Алтай
Кемеровская областьКрасная ОрловкаРоссия,РФ
"Алтайский крайБарнаул, ЛеснойРоссия",Барнаул
Алтайский крайТатьяновкаРоссия,Алтай
ВКОВолчанкаКазахстан,Казахстан
Ханты-Мансийский Автономный округ - Югра АОСур...,РФ
пров. ХэбэйЧжанцзякоуКитай,Китай
Новосибирская областьЛиневоРоссия,РФ
Алтай РеспТондошкаРоссия,Республика
Алтайский край ДумчевоРоссия,Алтай
Республика АлтайТопучаяРоссия,Республика
Алтайский крайВеселоярскРоссия,Алтай
Шаньдун провинцияЦиндаоКитай,Китай
Алтайский крайЗнаменкаРоссия,Алтай
"Алтайский крайСлавгород, СлавгородскоеРоссия",Славгород
Алтайский крайДолинкаРоссия,Алтай
Республика АлтайОгневкаРоссия,Республика
Казахстан респУсть-КаменогорскРоссия,Казахстан
Иссык-КульскаяКараколКыргызстан,Кыргызстан
Республика АлтайКаяшканРоссия,Республика
Алтайский крайНовоалтайск НовыйРоссия,Новоалтайск
Республика АлтайЧемалРоссия,Республика
Жалал-Абадская обл.сАтайКыргызстан,Кыргызстан
Кемеровская областьШабановоРоссия,РФ
Алтайский крайпоНовохарьковкаРоссия,Алтай
Ошская областьОшКыргызстан,Кыргызстан
Алтайский крайБарнаул Б ЗаимкаРоссия,Барнаул
В-КазахстанскаяСемейКазахстан,Казахстан
Чжэцзян провинцияШансинКитай,Китай
Алтайский крайСело ГоньбаРоссия,Барнаул
Жалал-Абад облЛенинаКыргызстан,Кыргызстан
провинция ХунаньЧэньчжоуРоссия,Китай
Алтайский крайПономаревоРоссия,Алтай
Хэбэй провинцияЧэндэКитай,Китай
Алтайский крайМарковкаРоссия,Алтай
Алтайский крайЯновоРоссия,Алтай
Республика ТываКызылРоссия,РФ
Алтайский крайсАлтайскоеРоссия,Алтай
В-Казахстанская облСемейКазахстан,Казахстан
Ханты-Мансийский АОНижневартовскРоссия,РФ
Ляонин провинцияДаляньородКитай,Китай
Согдийская областьЧкаловскТаджикистан,Таджикистан
Хатлонская облКулябаТаджикистан,Таджикистан
Хатлонская облСомониТаджикистан,Таджикистан
Республика Саха /Якутия/УдачныйРоссия,РФ
Саха /Якутия/ РеспБаранулРоссия,РФ
пров. ХэйлунцзянХарбинКитай,Китай
Алтайский крайсБурлаРоссия,Алтай
Алтайский крайгБелокурихаРоссия,Алтай
Алтайский крайБарнаул ЛеснойРоссия,Барнаул
Алтай РеспШыргайтаРоссия,Республика
Саха Респ (Якутия)УдачныйРоссия,РФ
ЧорякаронпоМехрабодТаджикистан,Таджикистан
Алтайский крайпоСолнечныйРоссия,Алтай
Алтайский крайБорихаРоссия,Алтай
Алтайский крайБарчихаРоссия,Алтай
АлматинскаяТалдыкорганКазахстан,Казахстан
Алтайский крайсавловскРоссия,Алтай
Алтайский крайКраснояркаРоссия,Алтай
Согдийская облШайдонТаджикистан,Таджикистан
Восточно-Казахстанская обл.Усть-ТаловкаКазахстан,Казахстан
Кемеровская областьКалтанРоссия,Алтай
Горно-Бадахшанская АОХорогТаджикистан,Таджикистан
Алтайский крайРедккая ДубраваРоссия,Алтай
Алтайский крайДальнийРоссия,Алтай
Алтай РеспКурайРоссия,Республика
Алтайский крайр-н ВолчихинскийРоссия,Алтай
Республика ТываХову-АксыРоссия,РФ
Алтайский крайНовоивановкаРоссия,Алтай
Алтайский крайВячеславкаРоссия,Алтай
Ошская областьКызыл-Сецгир АКыргызстан,Кыргызстан
Алтайский крайсГоноховоРоссия,Алтай
Алтайский крайПригородноеРоссия,Алтай
Алтайский крайМартыновоРоссия,Алтай
Алтайский крайсГлубокоеРоссия,Алтай
Алтайский крайКаяушкаРоссия,Алтай
Уйгурская АОУрумчиКитай,Китай
Респ КыргыстанТаш-КумырКыргызстан,Кыргызстан
Алтайский крайСветлоеРоссия,Алтай
Кемеровская облТаштаголРоссия,РФ
Алтайский крайТаловкаРоссия,Алтай
Тыва респШагонарРоссия,РФ
Павлодарская обл.ЭкибастузКазахстан,Казахстан
Алтайский крайПодборныйРоссия,Алтай
Карагандинская облКарагандаКазахстан,Казахстан
Цзилинь провинцияГунчжулинКитай,Китай
Алтайский крайБарнаул НовомихайловкаРоссия,Барнаул
ХэйлунцзянЦзямусыКитай,Китай
Алтайский крайНижняя ПетровкаРоссия,Алтай
Алтайский крайЯсная ПолянаРоссия,Алтай
Алтай РеспБеляшиРоссия,Республика
Иркутская областьБратскРоссия,РФ
Алматинская облКоктобеКазахстан,Казахстан
Восточно-Казахстанская облШемонаикаКазахстан,Казахстан
Алтайский крайТушканихаРоссия,Алтай
Республика ТываАк-ДовуракРоссия,РФ
Алтайский крайКазачийРоссия,Алтай
Согдийская облХуджандТаджикистан,Таджикистан
Иссык-Кульская обл.БалбайКыргызстан,Кыргызстан
Коми РеспИнтаРоссия,РФ
Алтайский крайВостровоРоссия,Алтай
Алтайский крайБурановкаРоссия,Алтай
Алтайский крайАндреевкаРоссия,Алтай
Алтай респАкташРоссия,Республика
Акмолинская облКокшетауКазахстан,Казахстан
Алтайский крайбАРНАУЛРоссия,Барнаул
В-Казахстанская облБарнаулКазахстан,Казахстан
Приморский крайШкотовогтРоссия,РФ
Алтайский крайсЗалесовоРоссия,Алтай
Алтайский крайГлядень-1Россия,Алтай
Алтайский крайЛобанихаРоссия,Алтай
Алтайский крайНовороссийскийРоссия,Алтай
Алтайский крайФилипповскийРоссия,Алтай
Алтайский крайТабуны 658860Россия,Алтай
Алтайский крайТрусовоРоссия,Алтай
"Восточно-Казахстанская облСемей, МукурКазахстан",Казахстан
Алтайский крайПлоскоеРоссия,Алтай
Красноярский крайЖелезногорскРоссия,РФ
Кемеровская облКалтанРоссия,РФ
Алтай РеспУсть-МуныРоссия,Республика
Алтайский крайЗолотухаРоссия,Алтай
Алтайский крайЛоговскоеРоссия,Алтай
Алтайский крайТележихаРоссия,Алтай
Алтай РеспСаратанРоссия,Республика
Иркутская облАртемовскийРоссия,РФ
Алтайский крайПанкрушихатРоссия,Алтай
Алтайский крайРучьевоРоссия,Алтай
Алтайский крайКамень-на- ОбиРоссия,Камень-на-Оби
Томская облТомскРоссия,РФ
Алтайский крайКирейРоссия,Алтай
Алтайский крайпоОктябрьскийРоссия,Барнаул
Хэйлунцзян провинцияТунцзянородскойКитай,Китай
Алтайский крайТальменский районРоссия,Алтай
Алтайский крайВерх-СлюдянкаРоссия,Алтай
Алтайский крайКуйбышевоРоссия,Алтай
Алтайский крайЧернавкаРоссия,Алтай
ХэйлунцзянЦзисиКитай,Китай
Омская областьОмскРоссия,РФ
ВКОгСемейКазахстан,Казахстан
Алтайский крайПаутовоРоссия,Алтай
Алтайский крайПервые КоростелиРоссия,Алтай
Жалал-Абадская облБлаговещенкаКыргызстан,Кыргызстан
Алтайский крайБарнаулЯгодноеРоссия,Барнаул
Алтайский крайЛоктевскийРоссия,Алтай
Ленинабадская облСуфиенТаджикистан,Таджикистан
Западно-Казахстанская облУральскКазахстан,Казахстан
Республика Саха /Якутия/НерюнгриРоссия,РФ
Алтайский крайСЗалесовоРоссия,Алтай
Алтайский крайХорошееРоссия,Алтай
Алтайский крайВасильевкаРоссия,Алтай
Алтайский крайсЗональноеРоссия,Алтай
В-КАЗАХСТАНСКАЯ ОБЛАСТЬГлубокоеКазахстан,Казахстан
Сахалинская областьНевельскРоссия,РФ
Алтайский крайЛебяжье БарнаулРоссия,Барнаул
г Санкт-ПетербургСанкт-ПетербургРоссия,РФ
Алтайский крайсдт Заря терРоссия,Алтай
Алтайский крайТягунтРоссия,Алтай
Алтайский крайАлейскийРоссия,Алейск
Восточно-Кзахстанская облСемейКазахстан,Казахстан
ГБАОДж Г ШахбозовТаджикистан,Таджикистан
Алтайский крайсБобровкаРоссия,Алтай
Алтайский крайУсть-ВолчихаРоссия,Алтай
Восточно-Казахстанская обл.Усть-КаменогоскКаза...,Казахстан
Бурятия РеспГусиноозерскРоссия,РФ
Алматинская облТекелиКазахстан,Казахстан
Алматинская областьКошмамбетКазахстан,Казахстан
Алтайский крайЕкатериновкаРоссия,Алтай
